Author of To Kill a Mockingbird?,Harper Lee
Artist who cut off his own ear?,Vincent van Gogh
Greek Muse of epic poetry?,Calliope
Shakespeare's famous soliloquy?,Hamlet
Painter of the Mona Lisa?,Leonardo da Vinci
Character at 221B Baker Street?,Sherlock Holmes
Famous London theater?,The Globe Theatre
Author of "1984"?,George Orwell
Origin of the Renaissance?,Italy
Protagonist in "Catcher in the Rye"?,Holden Caulfield
Author of "Pride and Prejudice"?,Jane Austen
20th-century art movement?,Abstract Expressionism
Creator of "Harry Potter"?,J.K. Rowling
Epic poem of the Trojan War?,The Iliad
Literary form with 17 syllables?,Haiku
Van Gogh's sunflower painting?,Sunflowers
Playwright of "Romeo and Juliet"?,William Shakespeare
Author of "The Great Gatsby"?,F. Scott Fitzgerald
Setting of "Sense and Sensibility"?,Regency England
God of music and poetry?,Apollo
